i,sum_loss
9,2.0488749
19,1.8122317
29,1.7615474
39,1.7191
49,1.6497619
59,1.64922
69,1.6947031
79,1.6424509
89,1.6076279
99,1.7102146
109,1.5212193
119,1.5943949
129,1.7149812
139,1.5373168
149,1.5700574
159,1.5706501
169,1.6477535
179,1.5248282
189,1.6217678
199,1.5773846
209,1.613487
219,1.6178164
229,1.528466
239,1.6300769
249,1.6527964
259,1.5635808
269,1.6757216
279,1.546107
289,1.5460176
299,1.5408242
309,1.5268347
319,1.5497307
329,1.4971719
339,1.5378885
349,1.4709119
359,1.4638011
369,1.4827611
379,1.4924035
389,1.5025814
399,1.5287902
409,1.5114096
419,1.4740427
429,1.4963739
439,1.4746728
449,1.490507
459,1.4812118
469,1.5109177
479,1.533252
489,1.5197
499,1.4769278
509,1.5183861
519,1.4917568
529,1.5023959
539,1.4678923
549,1.5005596
559,1.4945621
569,1.5013001
579,1.4843501
589,1.4657247
599,1.4620061
609,1.4791298
619,1.5332708
629,1.5224528
639,1.5174994
649,1.4771177
659,1.4725566
669,1.4838512
679,1.4811819
689,1.5203979
699,1.4651387
709,1.4883597
719,1.48643
729,1.4772699
739,1.4919313
749,1.4821744
759,1.4787691
769,1.4954822
779,1.490704
789,1.5072801
799,1.4805826
809,1.4672709
819,1.4703393
829,1.5164814
839,1.5291092
849,1.5034089
859,1.4705665
869,1.5192655
879,1.4920174
889,1.4872513
899,1.5344877
909,1.462044
919,1.4942713
929,1.475548
